title,price,description,link
Interactive Landing Page for Product,₹600-1500 INR,"I'm looking for a talented web designer to create a captivating landing page to promote my product. The purpose of this landing page is to engage visitors and entice them to explore the features of my product.

Key Requirements:
- Interactive and engaging design: I want the landing page to be visually appealing and to have interactive elements that will keep visitors engaged.

- Focus on product features: The landing page should prominently feature the key features of my product. This could be through animations, videos, or any other creative means.

Ideal candidate should have experience in creating engaging landing pages, and a solid understanding of UI/UX design principles. It's crucial that the designer can create a page that's not only visually appealing but also persuades visitors to take action.",https://www.freelancer.co.id/projects/interactive-landing-page-for-product
8x Royalty-Free Flat royalty-free infographic icons,$10-30 AUD,"Project Overview: 
We are seeking a talented freelancer to create eight royalty-free infographic icons to visually represent wash care instructions for linen fabric. These icons will be used to help customers easily understand the care instructions for their linen products.  The icons need to be original and not infringe on copyright.
- The main theme of the icons should be textile, with a special emphasis on fabric. 
- The style should be simple yet visually appealing and easily recognizable.

Icon Topics:

Pre-wash the fabric to prevent shrinkage later. 
	An icon depicting washing before sewing 
Cool Hand Wash or Gentle Machine Wash
Icon depicting a hand washing clothes or a washing machine 
Turn Linens Inside Out When Washing
The icon shows a piece of linen being turned inside out.
Separate White, Dark, and Colored Linens
Icon shows three separate laundry baskets for white, dark, and coloured linens.
Use Mild Detergent, Do Not Bleach
Icon depicting a bottle of mild detergent and a bleach bottle with a cross through it.
Dry in the Shade, Turn Linens Inside Out
Icon showing linen being hung to dry in the shade, turned inside out.
Do Not Wring
Icon with hands attempting to wring fabric with a cross through the action.
Steam Iron / Iron When Damp
Icon showing a steam iron or an iron with a small water droplet indicating dampness.

Style and Design:
Colour Scheme: Use a simple and clean colour palette that complements linen fabric tones (e.g., soft neutrals, blues, and greens).
Consistency: Ensure all icons have a consistent style and size for a cohesive look.
Clarity: Icons should be easy to understand at a glance and clear in their message.
Simplicity: Keep the design minimalist to avoid clutter and confusion.
File Specifications:
Format: Provide icons in both vector (SVG) and high-resolution PNG formats.
Size: Each icon should be provided with the large file size possible
Background: Icons should have a transparent background.
Examples and Inspiration: Attached
Deadline: 7 days",https://www.freelancer.co.id/projects/graphic-design/royalty-free-flat-royalty-free
Social Media Expert with Contentify AI Experience,₹750-1250 INR / hour,"I'm in need of an experienced social media expert who is proficient in Contentify AI. 

Responsibilities:
- Setting up and monitoring Contentify AI for social media
- Analyzing social media data on a daily basis for strategy improvement

Key Platforms:
- Facebook
- Instagram
- Twitter
- TikTok
- YouTube
- Linkedin

The ideal freelancer for this role should be knowledgeable and experienced in both social media marketing and Contentify AI. It's crucial that you're able to hit the ground running as we need daily monitoring and analysis.",https://www.freelancer.co.id/projects/facebook-marketing/social-media-expert-with-contentify
Austria-Targeted Marketing CV Design,€8-30 EUR,"I'm looking for an expert in creating a sleek, professionally designed CV that stands out in the job (marketing) sector in DACH, namely Austria. Ideal skills for this project include:

- Experience in designing slick, clean, effective CVs on one page
- Understanding of the marketing industry, particularly in Austria (DACH)
- Highlight my experience of content creation, event management, and multilingual communication.

The chosen freelancer will incorporate these specific skills into the CV:

- Adeptness in content creation
- Multilingual communication
- Established contacts 
- Event management skills 
- Incl professional headshot (if you require another photo this can be done)
- Incl that I have own upcycling gifting startup & blog that I run in my free time ([login to view URL])

The final product should be delivered in a PDF & Doc format so it can be adapted (ie incl my personal data). Ability to demonstrate previous projects in CV creation or similar documents will be highly regarded. 

The aim of this project is to showcase these specific skills, make my CV stand out in the Austrian job market, and aid my job application in the marketing sector.",https://www.freelancer.co.id/projects/cv-design/austria-targeted-marketing-design
Playful Retail Logo Design Needed,₹1500-12500 INR,"As the owner of a retail chain of gifts and toys, I'm seeking a graphic designer with a knack for creating playful and colorful logos. 

Here's what I'm looking for:
- A logo design that is rich in pink and purple, reflecting the light-hearted nature of my business.
- A professional who can create an elegant balance between fun and professionalism.
- Experience in the retail sector is a bonus but not necessary.

If you can transform my vision into a visually engaging reality, I'd love to hear from you.",https://www.freelancer.co.id/projects/logo-design/playful-retail-logo-design-needed
Social Media Post Creator,₹1500-12500 INR,"I'm in need of a proficient social media post creator that supports Facebook and Instagram. This tool should have a range of templates and designs to choose from, as well as robust image editing capabilities. 

Key Requirements:
- Support for Facebook and Instagram: The post creator should be able to generate content for these two platforms.
- Templates and Designs: A varied selection of templates and designs to assist in creating visually compelling posts.
- Image Editing Tools: The tool should offer a suite of editing tools to manipulate and enhance images.
- Supported Image Formats: The post creator should support common image formats like JPEG, PNG and GIF.

Ideal Candidate:
- Experience in designing and creating social media content.
- Proficient in using graphic design software and tools.
- Familiarity with image editing techniques.
- Strong understanding of the best practices for social media content creation.
- Ability to work efficiently and meet deadlines.",https://www.freelancer.co.id/projects/graphic-design/social-media-post-creator-38211074
Modern Concert Promotion Poster Design,$30-250 AUD,"I'm in need of a talented graphic designer to create an engaging and modern poster to promote an upcoming concert event. The design must exude a current and vibrant feel, reflecting the excitement of a live music experience. 

Key aspects of the project:
- Please see photo of band attached to use as the poster background- please feel free to change this as to how you feel fit
- Please see attached information that must be included on the poster 
- The venue is a classy jazz club and so the poster should reflect this- see venue:
[login to view URL]


-
- The end result should be visually arresting, capable of grabbing attention and arousing curiosity about the event.
- The poster must relay all crucial event details accurately.

Ideal candidate:

- Proven experience in modern graphic design, particularly in the event promotion space.
- Skilled in creating a visual balance through the use of neutral colors. 
- Exhibits keen attention to detail to ensure accurate dissemination of event details. 
- Uses creativity to make a poster that stands out, drawing in potential attendees.
- Timeliness and effective communication are crucial.",https://www.freelancer.co.id/projects/graphic-design/modern-concert-promotion-poster-design
Minimalist Logo and Banner,$10-30 USD,"I'm looking for a talented designer who can create a clean and modern logo and matching banner for my brand. The designs will be primarily used for display on my website and other digital platforms. 

Key Requirements:
- The theme of the design should be minimalist, focusing on clean and modern aesthetics.
- I am open to the designer's creativity and prefer a color scheme that fits the theme and enhances the visual appeal.
  
Ideal Skills and Experience:
- Proven experience in creating minimalist, modern logos and banners.
- Strong understanding of the digital design landscape and ability to create visually striking designs suitable for online platforms.
  
If you are a designer who is able to bring a fresh, modern perspective to my brand's visuals, I'd love to hear from you.",https://www.freelancer.co.id/projects/logo-design/minimalist-logo-banner
I am looking for a Logo Designer.,$30-250 USD,"Hello.
I am looking for a logo designer.
It is used for new established company symbol and that's website icon.
Not tight deadline, Need High quality.
If you are interested, then please bid happily.
Thank you.",https://www.freelancer.co.id/projects/logo-design/looking-for-logo-designer-38211056
Minimalist Instagram Filter Designer Needed,$30-250 USD,"I'm in need of a skilled Instagram filter designer who can create a minimalist and clean filter for facial enhancement. The primary object of this filter is face, with particular emphasis on:
- Smoothing
- Skin tone correction
Moreover, the filter should be designed with a modern, clean aesthetic in mind. The ideal freelancer for this task has a keen eye for detail, proficiency in Instagram's filter creation tools and a deep understanding of minimalist design principles. Previous experience in creating Instagram filters would be a distinct advantage.",https://www.freelancer.co.id/projects/graphic-design/minimalist-instagram-filter-designer
