title,price,description,link
Android Poker & Slots Game,€250-750 EUR,"I Am Looking For A Game Developer That Has Experience With Poker Games And Slots.
I Need Him To Help Me Upload The Game To A Server And Help Me Fix It. 
Server Code Has Bugs And Game Keeps Stopping .
Also in game has some bugs that need fixing 
Also I Need Him To Help Me Build Apk For The Play store
Game Its Build On Unity 
I Will Need The Developer Also For A Future Updates 
Please If You Have No Experience With Poker Games I Am Asking Kindly Not To Text 
Thank You",https://www.freelancer.co.id/projects/android/android-poker-slots-game
Android Gaming App Play Store Upload,₹1500-12500 INR,"I need an experienced developer to successfully upload my Android gaming app to the Play Store.

Key Requirements:
- Skill in Android app deployment and management on the Google Play Store.
- Familiarity with the Google Play Console and its processes.
- Understanding of the key differences between the app development stage and the app deployment stage.

I have developed a gaming app and it's now ready for deployment. I need someone who can take the APK file and ensure a smooth, successful upload to the Play Store. The ideal freelancer will have experience in managing the Play Store, understanding of the submission guidelines and a commitment to timely and error-free delivery. 

This job does not require any additional modifications to the app. It is purely about the deployment process and ensuring it is both successful and compliant with Play Store policies.",https://www.freelancer.co.id/projects/android/android-gaming-app-play-store
High-Quality Social Networking App Developer,$750-1500 CAD,"I'm looking for a skilled app developer who has a successful track record in creating high-quality apps. The project involves developing a social networking app for both iOS and Android platforms. 

Key Features:
- Messaging: The app should have a robust and user-friendly messaging feature to enable seamless communication between users.
- Photo & Video Sharing: A feature that allows users to easily share photos and videos.
- Friend Request System: It should also include a user-friendly friend request system.

Additional Features:
- Location Setting: A feature that allows users to share their location.
- Profile Customization: The app should give users the ability to customize their profiles with interests, name, bio, etc.
- Swipe Feature: A feature similar to the swipe functionality seen in popular social networking apps.
- Membership Options: Different membership levels and options for users to choose from.

As a client, I value confidentiality and expect the chosen developer to sign a Non-Disclosure Agreement (NDA) before commencing work, in addition to an Intellectual Property (IP) Agreement . I'm looking for a proactive and innovative professional who can deliver a premium social networking app that stands out in the market. 

Skills and Experience:
- Proven experience in developing social networking apps for both iOS and Android platforms.
- Strong background in app development, user experience, and UI design.
- Excellent communication skills and ability to work in a collaborative manner.
- Willingness to sign an NDA and adhere to confidentiality agreements.",https://www.freelancer.co.id/projects/iphone-app-development/high-quality-social-networking-app
Predictive Analytics from Tabular Data,₹600-1500 INR,"I need a skilled machine learning specialist to develop a predictive analytics model using tabular data. 

Key Project Details:
- The model will be dealing with tabular data
- The end goal is to create a predictive analytics system

The ideal candidate should:
- Have a strong background in machine learning
- Be experienced in working with tabular data
- Have a track record of delivering similar predictive analytics projects
- Be capable of deploying the model into an existing system

Please share your relevant experience and projects that you have completed.",https://www.freelancer.co.id/projects/google-analytics/predictive-analytics-from-tabular-data
Advanced E-commerce Joomla Developer,₹3000-5000 INR,"I'm seeking a skilled Joomla developer to work on a sophisticated e-commerce website with advanced customization and seamless integration with external systems.

Requirements:
- Create the all products catalog to be used for Google ads & Facebook ads
- Conversion tracking setup so that, all sales from Google & Facebook ads can get tracked

The current Joomla version used on the backend is 5.0",https://www.freelancer.co.id/projects/joomla/advanced-commerce-joomla-developer
Efficient Transport Management Portal Development,₹150000-250000 INR,"I am searching for a skilled and experienced developer to custom build an efficient transport management portal. The aim of this project is to primarily improve efficiency of operations for vehicle owners. 

Key Features:
- Document Management: The ability to easily upload, store, and access essential documents of the vehicles.
- Expense Module: To track and manage all transport expenses.
- Diesel Module: An organized system to monitor and manage diesel usage.
- Driver Module: A feature for tracking driver details and managing their overall performance.
- Inward Billing: An easy-to-use system for incoming bills from vehicle owners.
- Dispatch Report: A module for reporting the daily dispatch figures.
- Maintenance Register: Record and monitor vehicle maintenance schedules. 

Ideal Skills:
- Proven experience in web portal development and project management.
- Strong knowledge of database management and security.
- Previous work in developing effective UI/UX designs.
- Experience in the transport industry would be advantageous.
- Strong communication and cooperation skills.",https://www.freelancer.co.id/projects/php/efficient-transport-management-portal
Flutter Android App with Email Authentication,₹1500-12500 INR,"I'm in need of an experienced mobile app developer to build a Flutter-based Android application. The main goal of the app is to have user authentication through email and password. Key features to be included are:

- User Authentication: The app should allow users to sign up, log in, and manage their account using email and password credentials.
- Secure Data Handling: Security is a top priority. Make sure sensitive user data is handled and stored as per industry standards.

We are looking for a developer with the following skills and qualifications:

- Proficient in Flutter and Dart programming language
- Previous experience in developing secure user authentication systems
- Knowledge of mobile app security standards and best practices
- Strong communication skills to understand and implement design specifications

Please provide relevant samples of your previous work along with your bid.",https://www.freelancer.co.id/projects/android/flutter-android-app-with-email
Cross-Platform Educational App Developer,₹1500-12500 INR,"I'm looking for an experienced app developer to create a cross-platform educational application primarily focused on science.
Want to create a app made of three pre existing app 

Key Responsibilities:
- Develop a user-friendly, engaging educational app for both iOS and Android platforms
- Integrate high-quality, accurate, and up-to-date science content into the app
- Ensure the app is interactive, informative, and suitable for a wide range of users - from students to lifelong learners

Ideal Skills and Experience:
- Proven experience in developing cross-platform applications for both iOS and Android
- Background or expertise in educational app development
- Strong understanding of science content, preferably with prior experience in science education or communication
- Ability to create a user-focused, intuitive app interface 
- Experience with incorporating multimedia or interactive elements into an app is a plus

If you're a talented app developer with a passion for education, especially in the field of science, I'd love to hear from you. Please provide examples of your previous work and detail your relevant experience when applying.",https://www.freelancer.co.id/projects/android/cross-platform-educational-app-developer
Flutter App Development for iOS,$2-8 USD / hour,"I'm in need of a skilled Flutter developer to help bring my app concept to life. The app will be primarily designed for iOS, requiring users to authenticate upon use.

Key Requirements:

- The app will be built using Flutter, so experience with this framework is essential.
- You'll be working with me to integrate concepts and partial code that have been developed using the ChatGPT API.
- The app will also utilize the Google Text to Speech API, so any experience with this is a bonus.

Example : 

import 'package:flutter/[login to view URL]';
import 'package:flutter_tts/[login to view URL]';

class ChatRoomScreen extends StatefulWidget {
  final Map<String, String> coach;

  ChatRoomScreen({required [login to view URL]});

  @override
  _ChatRoomScreenState createState() => _ChatRoomScreenState();
}

class _ChatRoomScreenState extends State<ChatRoomScreen> {
  final FlutterTts flutterTts = FlutterTts();
  bool _sessionStarted = false;

  @override
  void initState() {
    [login to view URL]();
    [login to view URL](""en-US"");
  }

  void _startSession() async {
    setState(() {
      _sessionStarted = true;
    });
    await [login to view URL](""Hello, I'm ${[login to view URL]['name']} specializing in ${[login to view URL]['specialty']}. How can I assist you today?"");
  }

  @override
  Widget build(BuildContext context) {
    return Scaffold(
      appBar: AppBar(title: Text(""Session with ${[login to view URL]['name']}"")),
      body: Column(
        mainAxisAlignment: [login to view URL],
        children: [
          if (!_sessionStarted)
            ElevatedButton(
              onPressed: _startSession,
              child: Text('Start Session'),
            ),
          if (_sessionStarted)
            Text(""Session in progress...""),
          // Implement chat functionality here
        ],
      ),
    );
  }
}",https://www.freelancer.co.id/projects/iphone-app-development/flutter-app-development-for-ios-38210392
Building a streaming platform similar to network,$5000-10000 USD,"Im looking for someone to build a streaming platform similar to Hulu, Netflix and ect to put shows and movies and documentaries on there for entertainment",https://www.freelancer.co.id/projects/video-streaming/building-streaming-platform-similar
